,bairro/cidade,rua,legenda,area m²,Quartos,banheiros,vagas,preço,condominio,bairro,cidade
481,"Papicu, Fortaleza",Rua Cineasta Euselio Oliveira,"Apartamento para comprar 
Papicu, Fortaleza",165,4,5,3,R$ 1.990.000,Cond. R$ 1 • IPTU R$ 1,Papicu, Fortaleza
482,"Sapiranga, Fortaleza",Avenida Conselheiro Gomes de Freitas,"Casa para comprar 
Sapiranga, Fortaleza",158,4,5,4,R$ 795.000,Cond. R$ 795.000,Sapiranga, Fortaleza
483,"Jangurussu, Fortaleza",Rua Recanto Verde,"Apartamento para comprar 
Jangurussu, Fortaleza",44,2,1,1,R$ 38.000,Cond. R$ 200 • IPTU R$ 300,Jangurussu, Fortaleza
484,"Centro, Fortaleza",Rua João Cordeiro,"Apartamento para comprar 
Centro, Fortaleza",45,1,1,1,R$ 430.000,Cond. R$ 320,Centro, Fortaleza
485,"Edson Queiroz, Fortaleza",Rua Hil de Moraes,"Apartamento para comprar 
Edson Queiroz, Fortaleza",30,1,1,1,R$ 394.500,Cond. R$ 215 • IPTU R$ 300,Edson Queiroz, Fortaleza
486,"Engenheiro Luciano Cavalcante, Fortaleza",Rua Coronel Francisco Flávio Carneiro,"Apartamento para comprar 
Engenheiro Luciano Cavalcante, Fortaleza",165,3,3,3,R$ 1.290.000,Cond. R$ 1.200 • IPTU R$ 1,Engenheiro Luciano Cavalcante, Fortaleza
487,"Papicu, Fortaleza",Rua Raimundo Oliveira Filho,"Apartamento para comprar 
Papicu, Fortaleza",136,3,3,1,R$ 449.000,Cond. R$ 1.153,Papicu, Fortaleza
488,"Aldeota, Fortaleza",Rua Monsenhor Bruno,"Apartamento para comprar 
Aldeota, Fortaleza",79,3,4,2,R$ 1.087.000,Cond. R$ 700,Aldeota, Fortaleza
489,"Barroso, Fortaleza",Rua João Ferreira,"Apartamento para comprar 
Barroso, Fortaleza",46,2,2,1,R$ 260.000,Cond. R$ 300,Barroso, Fortaleza
490,"Sapiranga, Fortaleza",Rua Doutor Jurandyr Nunes,"Casa para comprar 
Sapiranga, Fortaleza",160,3,3,4,R$ 700.000,0,Sapiranga, Fortaleza
491,"Centro, Fortaleza",Rua João Cordeiro,"Apartamento para comprar 
Centro, Fortaleza",63,3,2,2,R$ 535.000,Cond. R$ 575,Centro, Fortaleza
492,"Mucuripe, Fortaleza",Rua Frei Mansueto,"Apartamento para comprar 
Mucuripe, Fortaleza",72,3,2,2,R$ 942.266,Cond. R$ 922 • IPTU R$ 174,Mucuripe, Fortaleza
493,"Praia do Futuro II, Fortaleza",Rua Antônio Atualpa Rodrigues,"Apartamento para comprar 
Praia do Futuro II, Fortaleza",83,3,2,2,R$ 870.000,Cond. R$ 1.280,Praia do Futuro II, Fortaleza
494,"Sapiranga, Fortaleza",Rua Professor Solon Farias,"Casa para comprar 
Sapiranga, Fortaleza",293,5,6,6,R$ 1.480.000,0,Sapiranga, Fortaleza
495,"Barroso, Fortaleza",Rua Rosa Mística,"Apartamento para comprar 
Barroso, Fortaleza",39,2,1,1,R$ 210.000,Cond. R$ 200 • IPTU R$ 500,Barroso, Fortaleza
