,endereco,legenda,area m²,Quartos,banheiros,vagas,preço,condominio,rua,bairro,cidade,estado,preco p/ m²,endereco_geo,latitude,longitude,preco_bin,Regional,IDH-Educação,IDH-Longevidade,IDH-Renda,IDH
3762,"Rua Professor Manduca, 553 - Mondubim, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 69m²",69.0,3,2,2,210000.0,480.0,Rua Professor Manduca,Mondubim,Fortaleza,CE,3043.478260869565,"Rua Professor Manduca, Mondubim, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60711-555, Brasil",-3.804343270508373,-38.56265957812832,3001-5000,5,0.9473684210526316,0.1746293245469522,0.0762537679553488,0.2327907907886917
3763,"Rua Coronel de Queiroz, 620 - Prefeito José Walter, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 55m²",55.0,2,2,2,110000.0,300.0,Rua Coronel de Queiroz,Prefeito José Walter,Fortaleza,CE,2000.0,"Rua Coronel de Queiroz, Cidade Nova, Planalto Ayrton Senna, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60760-415, Brasil",-3.834812641782584,-38.565886890432914,1500-3000,5,0.965587044534413,0.5889621087314663,0.1085931309918164,0.3952698722775042
3765,"Rua Monte Líbano, 2580 - Mondubim, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 44m²",44.0,2,1,1,198700.0,250.0,Rua Monte Líbano,Mondubim,Fortaleza,CE,4515.909090909091,"Rua Monte Líbano, Mondubim, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60762-376, Brasil",-3.824137728421249,-38.56148465823975,3001-5000,5,0.9473684210526316,0.1746293245469522,0.0762537679553488,0.2327907907886917
3766,"Rua Monte Líbano, 960 - Mondubim, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 44m²",44.0,2,1,1,174000.0,400.0,Rua Monte Líbano,Mondubim,Fortaleza,CE,3954.545454545456,"Rua Monte Líbano, Mondubim, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60762-376, Brasil",-3.824137728421249,-38.56148465823975,3001-5000,5,0.9473684210526316,0.1746293245469522,0.0762537679553488,0.2327907907886917
3768,"Rua Coronel de Queiroz, 620 - Prefeito José Walter, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 61m²",61.0,2,2,2,185000.0,325.0,Rua Coronel de Queiroz,Prefeito José Walter,Fortaleza,CE,3032.786885245901,"Rua Coronel de Queiroz, Cidade Nova, Planalto Ayrton Senna, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60760-415, Brasil",-3.834812641782584,-38.565886890432914,3001-5000,5,0.965587044534413,0.5889621087314663,0.1085931309918164,0.3952698722775042
3770,"Rua Benjamim Brasil, 770 - Mondubim, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 44m²",44.0,2,1,1,219640.0,300.0,Rua Benjamim Brasil,Mondubim,Fortaleza,CE,4991.818181818182,"Avenida Benjamim Brasil, Vila Rua Emília Sá, Mondubim, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60711-545, Brasil",-3.806027614151268,-38.56320924181615,3001-5000,5,0.9473684210526316,0.1746293245469522,0.0762537679553488,0.2327907907886917
3771,"Rua Queirós Ribeiro, 1034 - Montese, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 82m²",82.0,3,2,2,180000.0,500.0,Rua Queirós Ribeiro,Montese,Fortaleza,CE,2195.121951219512,"Rua Queirós Ribeiro, Montese, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60421-550, Brasil",-3.763558313486962,-38.54635272505919,1500-3000,4,0.9645748987854252,0.642504118616145,0.1705527893833563,0.4728138969961172
3772,"Rua Professor Manoel Lourenço, 95 - Jóquei Clube, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 63m²",63.0,3,2,2,390000.0,450.0,Rua Professor Manoel Lourenço,Jóquei Clube,Fortaleza,CE,6190.476190476191,"Rua Professor Manoel Lourenço, Jóquei Clube, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60440-155, Brasil",-3.761373778432884,-38.57188204002201,5001-10000,3,0.9635627530364372,0.5074135090609555,0.1372456721506071,0.4063624429818939
3774,"Rua Coronel de Queiroz, 620 - Prefeito José Walter, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 60m²",60.0,2,2,2,110000.0,300.0,Rua Coronel de Queiroz,Prefeito José Walter,Fortaleza,CE,1833.3333333333333,"Rua Coronel de Queiroz, Cidade Nova, Planalto Ayrton Senna, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60760-415, Brasil",-3.834812641782584,-38.565886890432914,1500-3000,5,0.965587044534413,0.5889621087314663,0.1085931309918164,0.3952698722775042
3777,"Rua Monte Líbano, 96 - Mondubim, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 44m²",44.0,2,1,1,74000.0,350.0,Rua Monte Líbano,Mondubim,Fortaleza,CE,1681.8181818181818,"Rua Monte Líbano, Mondubim, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60762-376, Brasil",-3.824137728421249,-38.56148465823975,1500-3000,5,0.9473684210526316,0.1746293245469522,0.0762537679553488,0.2327907907886917
