,bairro/cidade,rua,legenda,area m²,Quartos,banheiros,vagas,preço,condominio,bairro,cidade
943,"Engenheiro Luciano Cavalcante, Fortaleza",Rua Célio Brasil Girão,"Casa para comprar 
Engenheiro Luciano Cavalcante, Fortaleza",200.0,4,5,3,790000.0,0.0,Engenheiro Luciano Cavalcante, Fortaleza
944,"Praia de Iracema, Fortaleza",Rua Dragão do Mar,"Cobertura para comprar 
Praia de Iracema, Fortaleza",147.0,4,4,2,1250000.0,1574.0,Praia de Iracema, Fortaleza
945,"Dionisio Torres, Fortaleza",Rua Osvaldo Cruz,"Apartamento para comprar 
Dionisio Torres, Fortaleza",134.0,3,4,3,569999.0,1400.0,Dionisio Torres, Fortaleza
946,"Sapiranga, Fortaleza",Rua Coronel Olegário Memória,"Apartamento para comprar 
Sapiranga, Fortaleza",70.0,3,1,2,230000.0,680.0,Sapiranga, Fortaleza
947,"Messejana, Fortaleza",Rua Gerardo Magela Soares Frota,"Apartamento para comprar 
Messejana, Fortaleza",45.0,2,1,1,172000.0,0.0,Messejana, Fortaleza
948,"Edson Queiroz, Fortaleza",Rua Sandra Gentil,"Casa de condomínio para comprar 
Edson Queiroz, Fortaleza",230.0,5,6,3,449000.0,200.0,Edson Queiroz, Fortaleza
949,"Maraponga, Fortaleza",Rua Holanda,"Apartamento para comprar 
Maraponga, Fortaleza",45.0,2,1,1,180000.0,0.0,Maraponga, Fortaleza
950,"Meireles, Fortaleza",Rua Osvaldo Cruz,"Apartamento para comprar 
Meireles, Fortaleza",340.0,4,6,4,1800000.0,2800000.0,Meireles, Fortaleza
951,"Porto das Dunas, Aquiraz",Avenida dos Golfinhos,"Apartamento para comprar 
Porto das Dunas, Aquiraz",107.0,3,4,1,1170000.0,0.0,Porto das Dunas, Aquiraz
952,"Meireles, Fortaleza",Rua Vicente Leite,"Apartamento para comprar 
Meireles, Fortaleza",126.0,3,3,2,550000.0,1420.0,Meireles, Fortaleza
953,"Mondubim, Fortaleza",Rua Doutor Manuel Moreira,"Casa para comprar 
Mondubim, Fortaleza",91.0,3,4,3,399900.0,0.0,Mondubim, Fortaleza
954,"Sapiranga-Coité, Fortaleza",Rua Eunice Weaver,"Casa de condomínio para comprar 
Sapiranga-Coité, Fortaleza",67.0,3,2,2,210000.0,680.0,Sapiranga-Coité, Fortaleza
955,"Benfica, Fortaleza",Avenida da Universidade,"Apartamento para comprar 
Benfica, Fortaleza",146.0,3,2,1,450000.0,820.0,Benfica, Fortaleza
956,"Papicu, Fortaleza",Rua Júlio Azevedo,"Casa para comprar 
Papicu, Fortaleza",180.0,3,2,2,595000.0,0.0,Papicu, Fortaleza
957,"Dionisio Torres, Fortaleza",Rua Henriqueta Galeno,"Apartamento para comprar 
Dionisio Torres, Fortaleza",95.0,3,4,2,880000.0,0.0,Dionisio Torres, Fortaleza
958,"Dionisio Torres, Fortaleza",Rua Nunes Valente,"Apartamento para comprar 
Dionisio Torres, Fortaleza",108.0,3,3,2,315000.0,400.0,Dionisio Torres, Fortaleza
959,"Meireles, Fortaleza",Avenida Beira Mar,"Apartamento para comprar 
Meireles, Fortaleza",390.0,3,5,4,3800000.0,4200.0,Meireles, Fortaleza
960,"Engenheiro Luciano Cavalcante, Fortaleza",Rua Célio Brasil Girão,"Casa para comprar 
Engenheiro Luciano Cavalcante, Fortaleza",303.0,5,5,3,800000.0,0.0,Engenheiro Luciano Cavalcante, Fortaleza
961,"Engenheiro Luciano Cavalcante, Fortaleza",Rua Gontran Giffoni,"Apartamento para comprar 
Engenheiro Luciano Cavalcante, Fortaleza",216.0,3,5,4,2800000.0,1600.0,Engenheiro Luciano Cavalcante, Fortaleza
962,"Praia do Futuro II, Fortaleza",Rua Coronel Francisco Montenegro,"Apartamento para comprar 
Praia do Futuro II, Fortaleza",47.0,2,2,1,369000.0,360.0,Praia do Futuro II, Fortaleza
